id,Outcome,Type_of_outcome,First_Author,publication_year,population,nationality,job_role,study_design,time_points,intervention,intervention_class,Comparison Group,n_intervention,n_control,effect_measure,effect_size,lower_ci,upper_ci,p_value,n_outcome_intervention_binary_beginning,n_outcome _intervention_binary_final,n_outcomes_binary_control_begin,n_outcomes_binary_control_end ,mean_continuous_intervention_begin ,mean_continuous_intervention_end ,mean_continuous_ctrl_begin,mean_continuous_ctrl_end,scale_metric_outcome,industry_setting,study_duration,assessed_quality 
Arapovic-Johansson_2018_1,Exhaustion,Exhaustion Reduction,Bozana Arapovic-Johansson,2018,Dow Chemical Company Employees,Swedish,"Nurse, Physiotherapist, Physician, Medical Secretary, Mid-wife, Lab technician, Assistant nurse, counsellor, manager, assistant manager, dietician","Two-armed randomized trial, with one primary health care unit receiving the intervention and a two-unit control group.",3 (baseline and at 6 and 12-month follow up),"A participatory, organizational-level intervention aimed to improve psychosocial conditions - “Productivity Measurement and Enhancement System”",Secondary,Wait list Control,Wave 1 = 49 ; Wave 2 = 50 ; Wave 3 = 55,Wave 1 = 40; Wave 2 = 47; Wave 3 = 50,b value,0.431,−.755,1.616,0.477,NA,NA,NA,NA,18.6,18.7,17.8,18.2,Swedish version of the Oldenburg Burnout Inventory-OLBI,Healthcare Industry,1 year,
Ahola_2012_1,Depression,Depression Prevention,Kirsi Ahola,2012,Dow Chemical Company Employees,Finland,Employees (Private & Public Sector),"within-organisation, randomly assigned
field experimental study",2 (baseline and 7 months),to investigate if such a resource-enhancing group intervention at work would succeed in preventing depression indicated by a high number of depressive symptoms.,Primary,Comparison Group,Wave 1 = 369 ; Wave 2 = 296,Wave 1 = 349 ; Wave 2 = 270,Odds Ratio,0.4,0.19,0.82,0.01,32 (11%),23 (8%),25 (9%),33 (12%),NA,NA,NA,NA,13-item short form of the Beck Depression Inventory (BDI),17 Organizations in private and public sector,7 months,
Aikens_2014_3a,Vigor-Physical Strenth,Vigor Enhancement,Kimberly A. Aikens,2014,Employees (office workers) in various workplaces,NA,Employees,"randomized controlled study design,
which implemented a 2 (intervention vs wait-list control group) × 3 (baseline, postintervention, 6-month follow-up)",3(pre- and postin-tervention and 6-month follow-up),"Web-based
workplace mindfulness program - 7-week program combining live, weekly hour-long virtual class
meetings with accompanying on-line applied training",Secondary,Wait list control,Wave 1 = 44; Wave 2 = 36; Wave 3 = 31,Wave 1 = 45; Wave 2 = 42; Wave 3 = 32,Cohen's d,0.83,NA,NA,< .001,NA,NA,NA,NA,4.08,4.88,4.17,Post intervention = 4.46; Post intervention Wait-list = 4.81,"12-item
Shirom Vigor Scale",Dow Chemical Company ,6 months,
Aikens_2014_3b,Vigor-Cognitive Liveliness,Vigor Enhancement,Kimberly A. Aikens,2014,Dutch Multinational Organization,NA,Employees,"randomized controlled study design,
which implemented a 2 (intervention vs wait-list control group) × 3 (baseline, postintervention, 6-month follow-up)",3(pre- and postin-tervention and 6-month follow-up),"Web-based
workplace mindfulness program - 7-week program combining live, weekly hour-long virtual class
meetings with accompanying on-line applied training",Secondary,Wait list control,Wave 1 = 44; Wave 2 = 36; Wave 3 = 31,Wave 1 = 45; Wave 2 = 42; Wave 3 = 32,Cohen's d,0.57,NA,NA,0.003,NA,NA,NA,NA,4.53,5.08,4.75,Post intervention = 4.69; Post intervention Wait-list = 5.06,"12-item
Shirom Vigor Scale",Dow Chemical Company ,6 months,
Aikens_2014_3c,Vigor-Emotional Energy,Vigor Enhancement,Kimberly A. Aikens,2014,Dutch Multinational Organization,NA,Employees,"randomized controlled study design,
which implemented a 2 (intervention vs wait-list control group) × 3 (baseline, postintervention, 6-month follow-up)",3(pre- and postin-tervention and 6-month follow-up),"Web-based
workplace mindfulness program - 7-week program combining live, weekly hour-long virtual class
meetings with accompanying on-line applied training",Secondary,Wait list control,Wave 1 = 44; Wave 2 = 36; Wave 3 = 31,Wave 1 = 45; Wave 2 = 42; Wave 3 = 32,Cohen's d,0.63,NA,NA,0.001,NA,NA,NA,NA,5.07,5.63,5.12,Post intervention = 5.12; Post intervention Wait-list = 5.34,"12-item
Shirom Vigor Scale",Dow Chemical Company ,6 months,
Aikens_2014_2,Resilience,Resilience Enhancement,Kimberly A. Aikens,2014,Dutch Multinational Organization,NA,Employees,"randomized controlled study design,
which implemented a 2 (intervention vs wait-list control group) × 3 (baseline, postintervention, 6-month follow-up)",3(pre- and postin-tervention and 6-month follow-up),"Web-based
workplace mindfulness program - 7-week program combining live, weekly hour-long virtual class
meetings with accompanying on-line applied training",Secondary,Wait list control,Wave 1 = 44; Wave 2 = 36; Wave 3 = 31,Wave 1 = 45; Wave 2 = 42; Wave 3 = 32,Cohen's d,0.66,NA,NA,< .001,NA,NA,NA,NA,68.5,76.71,71.02,Post intervention = 67.71; Post intervention Wait-list = 76.59,"Connor-Davidson Resilience
Scale (CD-RISC) scale.",Dow Chemical Company ,6 months,
Aikens_2014_1,Perceived Stress,Perceived Stress Reduction,Kimberly A. Aikens,2014,Dow Chemical Company Employees,NA,Employees,"randomized controlled study design,
which implemented a 2 (intervention vs wait-list control group) × 3 (baseline, postintervention, 6-month follow-up)",3(pre- and postin-tervention and 6-month follow-up),"Web-based
workplace mindfulness program - 7-week program combining live, weekly hour-long virtual class
meetings with accompanying on-line applied training",Secondary,Wait list control,Wave 1 = 44; Wave 2 = 36; Wave 3 = 31,Wave 1 = 45; Wave 2 = 42; Wave 3 = 32,Cohen's d,0.89,NA,NA,< .001,NA,NA,NA,NA,24.46,18.81,24.76,Post intervention = 23.32; Post intervention Wait-list = 19.81,Perceived Stress Scale (PSS-14),Dow Chemical Company ,6 months,
Akkermans_2014_3,Self-efficacy,Self-efficacy Enahancement,JOS AKKERMANS,2015,Blue collarr Employees (Call Centre),Dutch,Employees,"quasi-randomized control
trial",3,CareerSKILLS intervention was developed to stimulate career competency development and work-related well-being of young employees.,Secondary,Control,Wave 1 = ; Wave 2 = ; Wave 3 = 71,Wave 1 = 75; Wave 2 = ; Wave 3 = 41 ,F-test,29.58,NA,NA,< .001,NA,NA,NA,NA,3.4,3.96,3.48,3.37,"five items based on the criteria as formulated
by Bandura (2012). The items were
reformulated for use in an occupational setting.","participants
in a reemployment program provided
by a large Dutch multinational.",6 weeks,
Akkermans_2014_2,Emotional Exhaustion,Emotional Exhaustion Reduction,JOS AKKERMANS,2015,Physician,Dutch,Employees,"quasi-randomized control
trial",3,CareerSKILLS intervention was developed to stimulate career competency development and work-related well-being of young employees.,Secondary,Control,Wave 1 = ; Wave 2 = ; Wave 3 = 71,Wave 1 = 75; Wave 2 = ; Wave 3 = 41 ,F-test,0.28,NA,NA,> .05,NA,NA,NA,NA,1.4,1.44,1.42,1.54,"five-item subscale from
the Utrecht Burnout Scale (UBOS; Schaufeli &
Van Dierendonck, 2000).","participants
in a reemployment program provided
by a large Dutch multinational.",6 weeks,
Akkermans_2014_1,Resilience,Resilience Enhancement,JOS AKKERMANS,2015,Physician,Dutch,Employees,"quasi-randomized control
trial",3,CareerSKILLS intervention was developed to stimulate career competency development and work-related well-being of young employees.,Secondary,Control,Wave 1 = ; Wave 2 = ; Wave 3 = 71,Wave 1 = 75; Wave 3 = 41 ,F-test,51.87,NA,NA,< .001,NA,NA,NA,NA,3.26,3.95,3.46,3.35,"four-item scale based on
Brenninkmeijer, Cremer, and Blonk (2005).","participants
in a reemployment program provided
by a large Dutch multinational.",6 weeks,
